Gene,RNA tissue specificity,RNA tissue distribution,RNA tissue specificity score,RNA tissue specific nTPM,RNA tissue cell type enrichment
PNCK,Tissue enhanced,Detected in many,,brain: 98.6;intestine: 79.0,"Adipose subcutaneous - Smooth muscle cells, Heart muscle - Cardiomyocytes, Prostate - Smooth muscle cells"
PNLDC1,Tissue enhanced,Detected in some,,brain: 3.6;testis: 7.9,"Pancreas - Ductal cells, Skin - Sebaceous gland cells, Testis - Early spermatids, Testis - Spermatocytes"
PNLIP,Tissue enriched,Detected in many,4811,pancreas: 430750.5,Pancreas - Exocrine glandular cells
PNLIPRP1,Tissue enriched,Detected in some,3907,pancreas: 10480.6,
PNLIPRP2,Tissue enriched,Detected in some,108,pancreas: 8353.0,
PNLIPRP3,Tissue enhanced,Detected in some,,breast: 8.8;skin 1: 14.0,"Skin - Sebaceous gland cells, Testis - Late spermatids"
PNMA2,Tissue enriched,Detected in many,5,brain: 113.4,"Adipose visceral - Adipose progenitor cells, Colon - Colon enteroendocrine cells, Heart muscle - Fibroblasts, Pancreas - Alpha cells, Pancreas - Beta cells"
PNMA3,Tissue enhanced,Detected in many,,brain: 21.5;epididymis: 47.8,"Adipose visceral - T-cells, Heart muscle - Cardiomyocytes, Prostate - T-cells, Testis - Sertoli cells"
PNMA5,Group enriched,Detected in some,17,brain: 21.7;testis: 8.5,Testis - Spermatocytes
PNMA6A,Tissue enhanced,Detected in many,,brain: 39.4,Kidney - Proximal tubular cells
PNMA6E,Tissue enhanced,Detected in some,,epididymis: 3.1;ovary: 2.1;testis: 11.6,
PNMA6F,Tissue enriched,Detected in single,34,brain: 24.3,
PNMA8A,Tissue enhanced,Detected in many,,brain: 78.4,"Adipose visceral - Mesothelial cells, Skeletal muscle - Fibroblasts, Testis - Spermatocytes, Testis - Spermatogonia, Thyroid - Thyroid glandular cells"
PNMA8B,Group enriched,Detected in many,5,adrenal gland: 14.3;brain: 50.2,"Kidney - Fibroblasts, Liver - Hepatic stellate cells, Thyroid - Fibroblasts"
PNMA8C,Group enriched,Detected in some,4,brain: 18.2;pituitary gland: 8.3,"Colon - Colon enteroendocrine cells, Lung - Respiratory ciliated cells"
PNMT,Tissue enhanced,Detected in many,,adrenal gland: 153.2;brain: 48.9,
PNOC,Group enriched,Detected in some,4,brain: 29.2;fallopian tube: 17.6;lymphoid tissue: 24.4,"Adipose visceral - Plasma cells, Breast - Plasma cells, Liver - Plasma cells, Lung - Plasma cells, Thyroid - Plasma cells"
PNP,Tissue enhanced,Detected in all,,bone marrow: 313.1;epididymis: 570.1,"Heart muscle - Endothelial cells, Skeletal muscle - Endothelial cells"
PNPLA1,Tissue enriched,Detected in some,5,skin 1: 23.2,"Kidney - Proximal tubular cells, Lung - Neutrophil_2, Skin - Keratinocyte (other), Stomach - Parietal cells"
PNPLA2,Tissue enhanced,Detected in all,,adipose tissue: 491.9;breast: 349.7,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Heart muscle - Cardiomyocytes"
PNPLA3,Tissue enriched,Detected in some,5,liver: 30.1,"Adipose visceral - Adipocytes (Visceral), Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Skin - Keratinocyte (granular)"
PNPLA5,Tissue enhanced,Detected in single,,epididymis: 1.7,Skin - Sebaceous gland cells
PNPO,Tissue enhanced,Detected in all,,liver: 86.0,"Kidney - Proximal tubular cells, Liver - Hepatocytes, Thyroid - Thyroid glandular cells"
POC1A,Tissue enhanced,Detected in many,,lymphoid tissue: 12.5;testis: 17.1,"Lung - Mitotic cells (Lung), Skin - Mitotic cells (Skin), Stomach - Mitotic cells (Stomach), Testis - Early spermatids"
PODXL,Tissue enhanced,Detected in many,,kidney: 92.8,"Heart muscle - Endothelial cells, Kidney - Podocytes, Liver - Vascular Endothelial cells, Prostate - Endothelial cells, Stomach - Endothelial cells"
PODXL2,Tissue enhanced,Detected in all,,brain: 97.6;pituitary gland: 57.4,"Prostate - Prostate glandular cells, Thyroid - Fibroblasts"
POF1B,Tissue enhanced,Detected in many,,intestine: 52.5;skin 1: 120.7,"Adipose subcutaneous - Smooth muscle cells, Colon - Colon enterocytes, Liver - Cholangiocyte, Stomach - Gastric mucous cells"
POLB,Tissue enhanced,Detected in all,,brain: 172.2,"Heart muscle - Cardiomyocytes, Skeletal muscle - Skeletal myocytes, Testis - Early spermatids, Testis - Late spermatids, Thyroid - Fibroblasts"
POLD4,Tissue enhanced,Detected in all,,liver: 265.3,
POLE2,Tissue enhanced,Detected in many,,bone marrow: 18.1,"Testis - Spermatocytes, Testis - Spermatogonia"
POLN,Tissue enhanced,Detected in some,,adipose tissue: 2.3;testis: 2.5,"Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Prostate - Prostate glandular cells, Testis - Spermatocytes"
POLQ,Tissue enhanced,Detected in some,,bone marrow: 5.9;lymphoid tissue: 4.3,"Colon - Mitotic cells (Colon), Lung - Mitotic cells (Lung), Skin - Mitotic cells (Skin), Stomach - Mitotic cells (Stomach), Thyroid - Mitotic cells (Thyroid)"
POLR2A,Tissue enhanced,Detected in single,,lymphoid tissue: 1.5,"Testis - Spermatocytes, Testis - Spermatogonia"
POLR2D,Tissue enhanced,Detected in all,,testis: 72.1,Testis - Early spermatids
POLR3E,Tissue enhanced,Detected in all,,skeletal muscle: 60.4,
POM121L12,Tissue enriched,Detected in single,129,testis: 12.9,Testis - Early spermatids
POM121L2,Tissue enriched,Detected in single,73,testis: 7.3,Testis - Early spermatids
POMC,Tissue enriched,Detected in many,603,pituitary gland: 33452.7,
POMT2,Tissue enhanced,Detected in many,,testis: 36.3,Testis - Sertoli cells
PON1,Tissue enriched,Detected in some,103,liver: 516.3,Liver - Hepatocytes
PON2,Tissue enhanced,Detected in all,,brain: 218.5,
PON3,Tissue enriched,Detected in many,20,liver: 598.0,"Heart muscle - Fibroblasts, Liver - Hepatocytes, Lung - Alveolar cells type 2, Skin - Sebaceous gland cells, Thyroid - Thyroid glandular cells"
POPDC2,Tissue enriched,Detected in many,4,heart muscle: 392.2,"Breast - Breast myoepithelial cells, Prostate - Smooth muscle cells, Skin - Smooth muscle cells"
POPDC3,Tissue enhanced,Detected in many,,heart muscle: 22.2;skeletal muscle: 92.8;tongue: 28.4,"Pancreas - Alpha cells, Prostate - Smooth muscle cells, Stomach - Chief cells, Testis - Early spermatids, Testis - Late spermatids"
POR,Tissue enhanced,Detected in all,,liver: 303.8,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast)"
PORCN,Tissue enhanced,Detected in all,,adrenal gland: 36.2,Adipose visceral - Adipose progenitor cells
POSTN,Tissue enhanced,Detected in many,,skin 1: 201.8;stomach 1: 170.3,"Kidney - Podocytes, Testis - Endothelial cells"
POTEA,Tissue enriched,Detected in single,12,testis: 1.1,Testis - Early spermatids
POTEB,Tissue enriched,Detected in single,14,testis: 1.3,
POTEB2,Tissue enriched,Detected in single,13,testis: 1.3,
POTEB3,Tissue enriched,Detected in single,19,testis: 4.9,
POTEC,Tissue enriched,Detected in single,25,testis: 2.4,Testis - Early spermatids
POTED,Tissue enriched,Detected in single,16,testis: 4.2,
POTEE,Tissue enriched,Detected in single,4,testis: 1.3,Skeletal muscle - Skeletal myocytes
POTEF,Tissue enriched,Detected in single,6,testis: 1.7,Skeletal muscle - Skeletal myocytes
POTEG,Tissue enhanced,Detected in single,,prostate: 1.1,Prostate - Prostate glandular cells
POTEH,Tissue enhanced,Detected in single,,prostate: 1.6,Prostate - Prostate glandular cells
POTEI,Group enriched,Detected in some,7,prostate: 2.4;testis: 3.2,"Prostate - Prostate glandular cells, Testis - Early spermatids"
POTEM,Tissue enriched,Detected in some,5,prostate: 18.1,Prostate - Prostate glandular cells
POU1F1,Tissue enriched,Detected in single,138,pituitary gland: 58.1,
POU2AF1,Group enriched,Detected in many,4,intestine: 37.5;lymphoid tissue: 116.1;stomach 1: 39.0,"Adipose subcutaneous - Plasma cells, Adipose visceral - Plasma cells, Breast - Plasma cells, Liver - Plasma cells, Lung - Plasma cells, Testis - Early spermatids"
POU2AF2,Tissue enhanced,Detected in some,,stomach 1: 3.3;testis: 5.4,"Lung - Respiratory ciliated cells, Pancreas - Ductal cells, Stomach - Chief cells, Testis - Early spermatids, Testis - Late spermatids"
POU2F2,Tissue enhanced,Detected in many,,lymphoid tissue: 49.6,Adipose subcutaneous - T-cells
POU2F3,Tissue enriched,Detected in some,8,skin 1: 46.3,"Lung - Alveolar cells type 2, Skin - Keratinocyte (other)"
POU3F1,Tissue enriched,Detected in some,8,skin 1: 31.8,"Skin - Keratinocyte (other), Testis - Spermatogonia"
POU3F2,Tissue enriched,Detected in single,21,brain: 11.6,Testis - Spermatogonia
POU3F3,Group enriched,Detected in some,19,brain: 35.4;epididymis: 31.6;kidney: 57.2;seminal vesicle: 14.7,
POU3F4,Tissue enriched,Detected in some,12,brain: 19.7,
POU4F1,Tissue enhanced,Detected in single,,retina: 2.5,Testis - Spermatocytes
POU4F2,Tissue enhanced,Detected in some,,retina: 1.0;testis: 1.0,Testis - Early spermatids
POU5F1,Tissue enhanced,Detected in many,,kidney: 16.0,
POU5F1B,Tissue enhanced,Detected in some,,choroid plexus: 4.1,
POU5F2,Tissue enhanced,Detected in some,,retina: 1.0;testis: 1.9,Testis - Early spermatids
POU6F1,Tissue enhanced,Detected in many,,brain: 7.7,
POU6F2,Tissue enhanced,Detected in single,,brain: 1.6,Liver - Hepatocytes
PP2D1,Group enriched,Detected in some,11,bone marrow: 1.9;testis: 7.2,"Testis - Early spermatids, Testis - Late spermatids"
PPARA,Tissue enhanced,Detected in all,,tongue: 40.9,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Skin - Sebaceous gland cells"
PPARG,Tissue enhanced,Detected in many,,adipose tissue: 157.6,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Stomach - Gastric mucous cells, Testis - Spermatocytes, Testis - Spermatogonia"
PPARGC1A,Tissue enhanced,Detected in many,,liver: 43.2,"Heart muscle - Cardiomyocytes, Skin - Eccrine sweat gland cells, Stomach - Parietal cells"
PPARGC1B,Tissue enhanced,Detected in many,,retina: 11.7,"Heart muscle - Cardiomyocytes, Testis - Spermatogonia"
PPBP,Tissue enhanced,Detected in some,,bone marrow: 82.3;lymphoid tissue: 52.4,
PPDPFL,Tissue enriched,Detected in some,8,skeletal muscle: 914.8,
PPEF1,Group enriched,Detected in some,7,brain: 10.3;breast: 4.1;testis: 13.6,"Testis - Early spermatids, Testis - Late spermatids"
PPEF2,Tissue enriched,Detected in single,282,retina: 231.4,"Testis - Early spermatids, Testis - Late spermatids"
PPFIA2,Group enriched,Detected in many,7,brain: 35.5;retina: 48.5,"Testis - Early spermatids, Testis - Late spermatids"
PPFIA3,Tissue enhanced,Detected in many,,brain: 61.9;pituitary gland: 43.8;skin 1: 40.9,Prostate - Prostate glandular cells
PPFIA4,Tissue enriched,Detected in many,10,brain: 171.5,"Adipose visceral - Adipose progenitor cells, Heart muscle - Cardiomyocytes, Kidney - Podocytes"
PPIAL4C,Tissue enhanced,Detected in some,,intestine: 1.4;lymphoid tissue: 1.7,
PPIAL4E,Tissue enriched,Detected in single,5,brain: 1.4,
PPIAL4G,Tissue enhanced,Detected in some,,intestine: 1.7,
PPIAL4H,Tissue enhanced,Detected in single,,brain: 2.9,
PPIL6,Tissue enhanced,Detected in many,,fallopian tube: 34.4;testis: 18.4,"Lung - Respiratory ciliated cells, Testis - Early spermatids, Thyroid - Thyroid glandular cells"
PPIP5K1,Tissue enhanced,Detected in all,,brain: 70.3,
PPL,Tissue enhanced,Detected in many,,esophagus: 707.7;vagina: 279.9,"Adipose visceral - Mesothelial cells, Skeletal muscle - Macrophages"
PPM1A,Tissue enhanced,Detected in all,,bone marrow: 141.3,"Testis - Early spermatids, Testis - Late spermatids"
PPM1E,Tissue enhanced,Detected in some,,brain: 12.1;retina: 21.6,"Colon - Colon enteroendocrine cells, Lung - Respiratory ciliated cells, Pancreas - Beta cells, Prostate - Prostate glandular cells, Testis - Early spermatids"
PPM1G,Tissue enhanced,Detected in all,,testis: 227.4,"Testis - Early spermatids, Testis - Late spermatids"
PPM1H,Tissue enhanced,Detected in many,,brain: 36.8;parathyroid gland: 40.9,"Colon - Colon enteroendocrine cells, Prostate - Prostate glandular cells, Thyroid - Thyroid glandular cells"
PPM1J,Tissue enhanced,Detected in many,,skeletal muscle: 73.1;testis: 62.0,"Heart muscle - Cardiomyocytes, Skeletal muscle - Skeletal myocytes, Skeletal muscle - Skeletal myocytes, Skin - Keratinocyte (other), Testis - Late spermatids"
PPM1K,Tissue enhanced,Detected in all,,heart muscle: 89.3,Heart muscle - Cardiomyocytes
PPM1N,Tissue enriched,Detected in many,8,skeletal muscle: 172.1,
PPP1R12B,Tissue enhanced,Detected in all,,heart muscle: 344.7,"Adipose subcutaneous - Smooth muscle cells, Colon - Smooth muscle cells, Heart muscle - Cardiomyocytes, Liver - Hepatic stellate cells, Prostate - Smooth muscle cells"
PPP1R13L,Tissue enhanced,Detected in many,,esophagus: 174.4;heart muscle: 135.1;skin 1: 213.1,"Adipose visceral - Mesothelial cells, Heart muscle - Cardiomyocytes, Lung - Alveolar cells type 1, Skin - Keratinocyte (other)"
PPP1R14A,Tissue enhanced,Detected in many,,brain: 576.8;intestine: 435.2,"Colon - Smooth muscle cells, Lung - Smooth muscle cells, Prostate - Smooth muscle cells, Skeletal muscle - Smooth muscle cells, Thyroid - Smooth muscle cells"
PPP1R14C,Tissue enhanced,Detected in many,,heart muscle: 72.9;skeletal muscle: 64.1;skin 1: 94.2;thyroid gland: 57.0,"Colon - Colon enterocytes, Heart muscle - Cardiomyocytes, Lung - Alveolar cells type 2, Pancreas - Alpha cells, Pancreas - Beta cells, Skeletal muscle - Skeletal myocytes, Skin - Keratinocyte (other), Testis - Sertoli cells, Thyroid - Thyroid glandular cells"
PPP1R14D,Tissue enriched,Detected in some,7,intestine: 107.9,"Colon - Colon enterocytes, Kidney - Proximal tubular cells"
PPP1R15A,Tissue enhanced,Detected in all,,bone marrow: 553.8,
PPP1R15B,Tissue enhanced,Detected in all,,bone marrow: 115.8,
PPP1R16B,Tissue enhanced,Detected in many,,brain: 72.1;lymphoid tissue: 40.8,"Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Prostate - Endothelial cells"
PPP1R17,Group enriched,Detected in some,4,adrenal gland: 4.5;brain: 17.6,Testis - Late spermatids
PPP1R1A,Tissue enhanced,Detected in many,,skeletal muscle: 802.9;tongue: 260.7,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Heart muscle - Cardiomyocytes, Liver - Hepatocytes, Pancreas - Beta cells, Skin - Adipocytes (Skin)"
PPP1R1B,Group enriched,Detected in many,4,brain: 1417.6;choroid plexus: 1506.4,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Skin - Eccrine sweat gland cells"
PPP1R1C,Tissue enriched,Detected in some,5,heart muscle: 23.0,"Heart muscle - Cardiomyocytes, Liver - Hepatocytes, Skeletal muscle - Skeletal myocytes, Skin - Outer root sheath cells, Stomach - Gastric mucous cells, Testis - Early spermatids"
PPP1R27,Tissue enriched,Detected in some,25,skeletal muscle: 1163.7,"Testis - Early spermatids, Testis - Late spermatids"
PPP1R2B,Tissue enriched,Detected in single,122,testis: 21.3,Testis - Early spermatids
PPP1R2C,Tissue enriched,Detected in single,181,testis: 69.0,Testis - Late spermatids
PPP1R32,Tissue enhanced,Detected in all,,choroid plexus: 52.0;testis: 91.2,"Lung - Respiratory ciliated cells, Testis - Late spermatids"
PPP1R35,Tissue enhanced,Detected in all,,testis: 47.4,Testis - Early spermatids
PPP1R36,Tissue enhanced,Detected in many,,fallopian tube: 12.1;testis: 36.0,"Lung - Respiratory ciliated cells, Testis - Early spermatids, Testis - Late spermatids"
PPP1R3A,Group enriched,Detected in some,64,heart muscle: 39.4;skeletal muscle: 147.4;tongue: 100.0,"Heart muscle - Cardiomyocytes, Skeletal muscle - Skeletal myocytes"
PPP1R3B,Tissue enhanced,Detected in all,,liver: 140.3;skeletal muscle: 91.8,Skeletal muscle - Skeletal myocytes
PPP1R3C,Tissue enhanced,Detected in many,,skeletal muscle: 876.0;tongue: 431.3,"Adipose subcutaneous - Smooth muscle cells, Prostate - Smooth muscle cells, Skeletal muscle - Skeletal myocytes"
PPP1R3E,Tissue enhanced,Detected in all,,retina: 45.4,
PPP1R3F,Tissue enhanced,Detected in all,,brain: 38.7;skeletal muscle: 26.6,
PPP1R3G,Tissue enhanced,Detected in many,,heart muscle: 5.7;liver: 6.0,"Skeletal muscle - Fibroblasts, Thyroid - Fibroblasts"
PPP1R42,Group enriched,Detected in some,6,fallopian tube: 5.3;testis: 8.9,"Lung - Respiratory ciliated cells, Testis - Early spermatids"
PPP1R9B,Tissue enhanced,Detected in all,,brain: 111.2,"Colon - Endothelial cells, Liver - Vascular Endothelial cells, Testis - Sertoli cells"
PPP2R1B,Tissue enhanced,Detected in all,,liver: 166.5,"Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Testis - Early spermatids"
PPP2R2B,Tissue enhanced,Detected in many,,brain: 84.4;retina: 41.6,"Adipose subcutaneous - Smooth muscle cells, Testis - Late spermatids"
PPP2R2C,Tissue enhanced,Detected in many,,brain: 128.3,"Colon - Colon enteroendocrine cells, Pancreas - Alpha cells, Pancreas - Beta cells, Skin - Keratinocyte (other), Testis - Late spermatids"
PPP2R2D,Tissue enhanced,Detected in many,,pancreas: 15.4,
PPP2R3A,Group enriched,Detected in many,5,heart muscle: 49.4;skeletal muscle: 174.0;tongue: 113.2,"Heart muscle - Cardiomyocytes, Skeletal muscle - Skeletal myocytes, Skin - Keratinocyte (other)"
PPP2R3B,Group enriched,Detected in many,5,heart muscle: 70.7;skeletal muscle: 99.8,Heart muscle - Cardiomyocytes
PPP2R5B,Tissue enriched,Detected in all,4,brain: 113.5,
PPP3CA,Tissue enhanced,Detected in all,,brain: 160.1,Prostate - Prostate glandular cells
PPP3CB,Tissue enhanced,Detected in all,,skeletal muscle: 366.1,"Skeletal muscle - Skeletal myocytes, Skeletal muscle - Skeletal myocytes"
PPP3R1,Tissue enhanced,Detected in all,,brain: 163.2;retina: 184.1,"Lung - Endothelial cells, Skin - Keratinocyte (other)"
PPP3R2,Tissue enriched,Detected in single,622,testis: 78.6,Testis - Early spermatids
PPP4R3C,Tissue enriched,Detected in single,9,testis: 1.8,"Testis - Spermatocytes, Testis - Spermatogonia"
PPP4R4,Tissue enhanced,Detected in some,,brain: 15.0;testis: 7.7,"Lung - Alveolar cells type 2, Testis - Early spermatids, Testis - Spermatocytes"
PPTC7,Tissue enhanced,Detected in all,,tongue: 134.7,Testis - Spermatogonia
PPY,Tissue enriched,Detected in some,24,pancreas: 169.2,
PRAC1,Group enriched,Detected in some,12,intestine: 198.6;prostate: 105.2,Prostate - Prostate glandular cells
PRAC2,Group enriched,Detected in some,4,intestine: 9.3;prostate: 12.9,"Prostate - Prostate glandular cells, Testis - Late spermatids"
PRADC1,Tissue enhanced,Detected in all,,skeletal muscle: 122.2,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Heart muscle - Cardiomyocytes, Testis - Early spermatids, Testis - Late spermatids"
PRAF2,Tissue enhanced,Detected in all,,epididymis: 159.5,"Adipose subcutaneous - Adipose progenitor cells, Adipose visceral - Adipose progenitor cells"
